file,label,score
/scratch/ghunkins/rude-carnie/extracted/00658/2.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00658/3.jpg,M,0.82
/scratch/ghunkins/rude-carnie/extracted/00658/1.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00658/0.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00693/1.jpg,F,0.96
/scratch/ghunkins/rude-carnie/extracted/00693/0.jpg,M,1.00
/scratch/ghunkins/rude-carnie/extracted/00455/4.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00455/2.jpg,F,0.61
/scratch/ghunkins/rude-carnie/extracted/00455/3.jpg,M,1.00
/scratch/ghunkins/rude-carnie/extracted/00455/1.jpg,M,1.00
/scratch/ghunkins/rude-carnie/extracted/00455/0.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00667/2.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00667/3.jpg,F,0.69
/scratch/ghunkins/rude-carnie/extracted/00667/1.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00667/0.jpg,F,0.69
/scratch/ghunkins/rude-carnie/extracted/00203/2.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00203/3.jpg,M,0.58
/scratch/ghunkins/rude-carnie/extracted/00203/1.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00203/0.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00031/1.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00031/0.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00009/2.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00009/3.jpg,M,0.97
/scratch/ghunkins/rude-carnie/extracted/00009/1.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00009/0.jpg,M,0.91
/scratch/ghunkins/rude-carnie/extracted/00499/2.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00499/3.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00499/1.jpg,M,1.00
/scratch/ghunkins/rude-carnie/extracted/00499/0.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00036/2.jpg,F,0.99
/scratch/ghunkins/rude-carnie/extracted/00036/3.jpg,F,1.00
/scratch/ghunkins/rude-carnie/extracted/00036/1.jpg,F,0.87
